Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.88584805714403, -0.5402023871723697;"{""coordinates"": [-0.54020238717237, 44.88584805714403], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79903;79903;Parc des Berges de Garonne A 116;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.84798680017282, -0.5770133664033134;"{""coordinates"": [-0.577013366403313, 44.84798680017282], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79906;79906;Jardin Public J 2 Espaces Centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84826954660709, -0.5769479827086214;"{""coordinates"": [-0.576947982708621, 44.84826954660709], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79907;79907;Jardin Public Abris J Espaces Centraux;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85138135753778, -0.6047171641810242;"{""coordinates"": [-0.604717164181024, 44.85138135753778], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79909;79909;Parc Bordelais Jj 112 Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.887766881378, -0.5400873710225663;"{""coordinates"": [-0.540087371022566, 44.887766881378], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79912;79912;Parc des Berges de Garonne A 24;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.88848291877718, -0.5404872207546337;"{""coordinates"": [-0.540487220754634, 44.88848291877718], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79982;79982;Parc des Berges de Garonne E 76;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.854720381063835, -0.6008989751175591;"{""coordinates"": [-0.600898975117559, 44.854720381063835], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79985;79985;Parc Bordelais N 12 Chênaie;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.85535369207082, -0.6045099827238122;"{""coordinates"": [-0.604509982723812, 44.85535369207082], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80000;80000;Parc Bordelais Y Lisière;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85458239008017, -0.6037850523460951;"{""coordinates"": [-0.603785052346095, 44.85458239008017], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80005;80005;Parc Bordelais Qr 27 Espaces centraux;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.85046194982184, -0.6017015562531477;"{""coordinates"": [-0.601701556253148, 44.85046194982184], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80006;80006;Parc Bordelais G 39 Espaces centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85134011657259, -0.6009853761894758;"{""coordinates"": [-0.600985376189476, 44.85134011657259], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80009;80009;Parc Bordelais F 91 Espaces centraux;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.85285498796239, -0.6027858033945142;"{""coordinates"": [-0.602785803394514, 44.85285498796239], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80019;80019;Parc Bordelais Abris Cc Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.9031353341329, -0.5617648289567335;"{""coordinates"": [-0.561764828956734, 44.9031353341329], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80023;80023;Parc Floral J 198;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.90299909819424, -0.5617832675609125;"{""coordinates"": [-0.561783267560912, 44.90299909819424], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80024;80024;Parc Floral J 210;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.853866187833916, -0.6018426277575162;"{""coordinates"": [-0.601842627757516, 44.853866187833916], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80029;80029;Parc Bordelais P 43 Chênaie;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.853849876719345, -0.6017858850476567;"{""coordinates"": [-0.601785885047657, 44.853849876719345], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80030;80030;Parc Bordelais P 29 Chênaie;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84864066105785, -0.5794072505455494;"{""coordinates"": [-0.579407250545549, 44.84864066105785], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80037;80037;Jardin Public D 4 Espaces Centraux;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.84851461024403, -0.5778551754705685;"{""coordinates"": [-0.577855175470569, 44.84851461024403], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80040;80040;Jardin Public G 25 Espaces Centraux;OISEAU;ROUGEQUEUE A FRONT BLANC;PT_BORDEAUX
44.8492784026918, -0.5803992712227687;"{""coordinates"": [-0.580399271222769, 44.8492784026918], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80043;80043;Jardin Public AB 5 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.849820317180345, -0.5775919661848183;"{""coordinates"": [-0.577591966184818, 44.849820317180345], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80046;80046;Jardin Public R Espaces Centraux;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
